2025-02-10 11:50:44 - Logger initialized successfully.
2025-02-10 11:50:44 - Initializing CarRacing-v2 environment in render mode...
2025-02-10 11:50:44 - Environment initialized successfully.
2025-02-10 11:50:44 - Loading trained model from trained agents/ppo_CarRacing-v2_2025-02-09_16-01-58_reward_205.00.zip...
2025-02-10 11:50:45 - ✅ Model loaded successfully.
2025-02-10 11:50:45 - Starting simulation...
2025-02-10 11:50:45 - Action taken: [1. 0. 0.], Reward: 6.289776357827477, Done: False, Truncated: False
2025-02-10 11:50:45 - Action taken: [0.00357196 0.         0.575024  ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [1.        0.        0.7211937], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [-1.          0.27229956  1.        ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [-0.8066104   1.          0.17079815], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [-1.          1.          0.37863433], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [-1.         1.         0.0539099], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [-1.  1.  0.], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [0.21212885 1.         0.        ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [0.00909707 1.         0.        ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [-0.59531474  1.          0.        ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [0.12837434 1.         0.        ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [-0.517517    1.          0.24453902], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [0.42065454 1.         0.        ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [-0.20494312  1.          0.        ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [1. 1. 0.], Reward: 3.094888178913739, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [1.         1.         0.27896953], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [0.8451733 1.        0.       ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [0.65045786 1.         0.16534752], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [0.34152737 1.         0.        ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [1. 1. 0.], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [0.4340647 1.        0.       ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:46 - Action taken: [0.05076765 1.         0.        ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:47 - Action taken: [1.         1.         0.24831812], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:47 - Action taken: [0.63290536 1.         0.        ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:47 - Action taken: [0.13207644 1.         0.        ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:47 - Action taken: [-1.  1.  0.], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:47 - Action taken: [-0.52210706  1.          0.        ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:47 - Action taken: [-1.  1.  0.], Reward: 3.094888178913738, Done: False, Truncated: False
2025-02-10 11:50:47 - Action taken: [-0.27591053  1.          0.        ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:47 - Action taken: [-0.5270685  1.         0.       ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:47 - Action taken: [0.32895005 1.         0.        ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:47 - Action taken: [-1.  1.  0.], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:47 - Action taken: [-0.8526048  1.         0.       ], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:47 - Action taken: [1. 1. 0.], Reward: -0.09999999999999964, Done: False, Truncated: False
2025-02-10 11:50:47 - Action taken: [-0.8295554  1.         0.1974492], Reward: -0.09999999999999964, Done: False, Truncated: False
